treatment,placement,condition,pattern,ws_bytes,stores,iters,repeats,base_cyc_iter,base_ns_iter,var_cyc_iter,var_ns_iter,incr_cyc_iter,incr_ns_iter,base_cyc_op,var_cyc_op,incr_cyc_op,base_l1_acc,base_l2_acc,base_ll_acc,base_mem_acc,base_stall_frac,base_mux,base_cs,base_mig,base_pf,base_pass,base_tot,treat_pass,treat_tot
ldadd,acquire,miss,random,536870912,1,1000000,10,46.48,14.45,46.03,14.32,-0.41,-0.12,46.4778,46.0263,-0.4066,1.0014,0.9983,0.9986,3.0003,0.8849,1.0000,0,0,0,10,10,10,10
ldadd,acquire,miss,random,536870912,2,1000000,10,98.26,30.54,97.68,30.35,-0.13,-0.03,49.1290,48.8394,-0.0641,1.0011,0.9983,0.9985,3.0004,0.9181,1.0000,0,0,0,10,10,10,10
ldadd,acquire,miss,random,536870912,4,1000000,10,223.77,69.52,243.25,75.56,19.48,6.03,55.9433,60.8122,4.8704,1.0007,0.9983,0.9985,3.1600,0.9331,1.0000,0,0,0,10,10,10,10
ldadd,acquire,miss,random,536870912,8,1000000,10,450.65,139.98,489.02,151.92,38.42,11.89,56.3315,61.1271,4.8022,1.0005,0.9983,0.9985,3.1046,0.9382,1.0000,0,0,0,10,10,10,10
ldadd,acquire,miss,random,536870912,16,1000000,10,901.35,279.97,901.16,279.90,-0.22,-0.06,56.3346,56.3226,-0.0139,1.0008,0.9983,0.9986,3.0005,0.9410,1.0000,0,0,0,10,10,10,10
ldadd,acquire,miss,random,536870912,32,1000000,10,1802.94,560.07,1962.14,609.46,159.15,49.40,56.3420,61.3168,4.9734,1.0006,0.9983,0.9985,3.0351,0.9413,1.0000,0,0,0,10,10,10,10
ldadd,acquire,miss,random,536870912,64,1000000,10,3605.54,1119.85,3605.09,1119.60,-0.47,-0.18,56.3365,56.3296,-0.0074,1.0006,0.9983,0.9985,3.0006,0.9428,1.0000,0,0,0,10,10,10,10
ldadd,acquire,hit,random,2048,1,1000000,10,14.84,4.62,14.71,4.58,-0.12,-0.04,14.8392,14.7147,-0.1244,0.0000,0.0000,0.0000,3.0001,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,acquire,hit,random,2048,2,1000000,10,28.96,8.99,28.69,8.91,-0.26,-0.08,14.4780,14.3473,-0.1310,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,acquire,hit,random,2048,4,1000000,10,57.26,17.77,56.60,17.56,-0.67,-0.21,14.3156,14.1490,-0.1666,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,acquire,hit,random,2048,8,1000000,10,113.82,35.31,112.42,34.88,-1.39,-0.43,14.2271,14.0530,-0.1742,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,acquire,hit,random,2048,16,1000000,10,226.81,70.35,223.93,69.46,-2.88,-0.89,14.1759,13.9958,-0.1801,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,acquire,hit,random,2048,32,1000000,10,452.90,140.45,447.16,138.66,-5.74,-1.78,14.1532,13.9738,-0.1794,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,acquire,hit,random,2048,64,1000000,10,905.09,280.67,893.61,277.13,-11.47,-3.54,14.1420,13.9627,-0.1793,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,release,miss,random,536870912,1,1000000,10,38.87,12.12,38.72,12.04,-0.22,-0.07,38.8699,38.7228,-0.2189,1.0013,0.9983,0.9985,3.0003,0.8521,1.0000,0,0,0,10,10,10,10
ldadd,release,miss,random,536870912,2,1000000,10,97.98,30.45,97.79,30.40,-0.19,-0.07,48.9925,48.8964,-0.0961,1.0011,0.9983,0.9985,3.0004,0.9179,1.0000,0,0,0,10,10,10,10
ldadd,release,miss,random,536870912,4,1000000,10,223.69,69.50,223.66,69.47,-0.02,-0.03,55.9228,55.9144,-0.0042,1.0007,0.9983,0.9986,3.1576,0.9332,1.0000,0,0,0,10,10,10,10
ldadd,release,miss,random,536870912,8,1000000,10,450.53,139.97,450.49,139.95,-0.08,-0.01,56.3162,56.3109,-0.0105,1.0005,0.9985,0.9987,3.0005,0.9409,1.0000,0,0,0,10,10,10,10
ldadd,release,miss,random,536870912,16,1000000,10,901.07,279.93,900.84,279.86,-0.25,-0.04,56.3170,56.3028,-0.0154,1.0008,0.9983,0.9985,3.0006,0.9410,1.0000,0,0,0,10,10,10,10
ldadd,release,miss,random,536870912,32,1000000,10,1802.83,559.95,1802.57,559.86,-0.19,-0.05,56.3385,56.3304,-0.0059,1.0006,0.9983,0.9986,3.0006,0.9421,1.0000,0,0,0,10,10,10,10
ldadd,release,miss,random,536870912,64,1000000,10,3607.43,1120.49,3606.90,1120.30,-0.76,-0.21,56.3662,56.3578,-0.0118,1.0006,0.9984,0.9986,3.0006,0.9428,1.0000,0,0,0,10,10,10,10
ldadd,release,hit,random,2048,1,1000000,10,14.84,4.62,14.71,4.58,-0.13,-0.04,14.8380,14.7123,-0.1257,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,release,hit,random,2048,2,1000000,10,28.96,9.00,28.69,8.91,-0.26,-0.08,14.4784,14.3473,-0.1313,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,release,hit,random,2048,4,1000000,10,57.26,17.77,56.60,17.56,-0.67,-0.21,14.3155,14.1491,-0.1664,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,release,hit,random,2048,8,1000000,10,113.82,35.32,112.42,34.88,-1.39,-0.43,14.2272,14.0530,-0.1741,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,release,hit,random,2048,16,1000000,10,226.81,70.36,223.93,69.46,-2.88,-0.89,14.1758,13.9958,-0.1800,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,release,hit,random,2048,32,1000000,10,452.90,140.47,447.16,138.68,-5.74,-1.78,14.1532,13.9739,-0.1793,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,release,hit,random,2048,64,1000000,10,905.09,280.67,893.62,277.10,-11.47,-3.56,14.1420,13.9628,-0.1792,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,acqrel,miss,random,536870912,1,1000000,10,42.07,13.08,41.92,13.03,-0.21,-0.06,42.0735,41.9199,-0.2058,1.0014,0.9984,0.9986,3.0003,0.8655,1.0000,0,0,0,10,10,10,10
ldadd,acqrel,miss,random,536870912,2,1000000,10,99.03,30.76,98.79,30.71,-0.29,-0.05,49.5173,49.3931,-0.1428,1.0011,0.9984,0.9986,3.0004,0.9191,1.0000,0,0,0,10,10,10,10
ldadd,acqrel,miss,random,536870912,4,1000000,10,223.52,69.42,223.46,69.43,-0.11,-0.02,55.8809,55.8639,-0.0282,1.0007,0.9983,0.9985,3.0005,0.9374,1.0000,0,0,0,10,10,10,10
ldadd,acqrel,miss,random,536870912,8,1000000,10,450.58,139.98,450.56,139.96,-0.05,-0.04,56.3230,56.3200,-0.0059,1.0005,0.9983,0.9985,3.0005,0.9409,1.0000,0,0,0,10,10,10,10
ldadd,acqrel,miss,random,536870912,16,1000000,10,901.47,280.03,982.31,305.15,80.93,25.13,56.3419,61.3944,5.0584,1.0008,0.9983,0.9985,3.0402,0.9400,1.0000,0,0,0,10,10,10,10
ldadd,acqrel,miss,random,536870912,32,1000000,10,1802.93,559.96,1802.65,559.83,-0.29,-0.12,56.3417,56.3328,-0.0090,1.0006,0.9983,0.9986,3.0006,0.9422,1.0000,0,0,0,10,10,10,10
ldadd,acqrel,miss,random,536870912,64,1000000,10,3606.62,1120.27,3606.26,1120.17,-0.32,-0.08,56.3534,56.3478,-0.0050,1.0006,0.9984,0.9986,3.0006,0.9428,1.0000,0,0,0,10,10,10,10
ldadd,acqrel,hit,random,2048,1,1000000,10,14.84,4.62,14.62,4.55,-0.22,-0.07,14.8378,14.6220,-0.2158,0.0000,0.0000,0.0000,3.0001,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,acqrel,hit,random,2048,2,1000000,10,28.96,8.99,28.63,8.89,-0.32,-0.10,14.4782,14.3164,-0.1618,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,acqrel,hit,random,2048,4,1000000,10,57.26,17.77,56.62,17.57,-0.64,-0.20,14.3156,14.1554,-0.1604,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,acqrel,hit,random,2048,8,1000000,10,113.82,35.31,112.59,34.93,-1.22,-0.38,14.2271,14.0742,-0.1530,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,acqrel,hit,random,2048,16,1000000,10,226.81,70.36,224.44,69.61,-2.37,-0.75,14.1759,14.0278,-0.1481,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,acqrel,hit,random,2048,32,1000000,10,452.90,140.46,451.76,140.11,-1.15,-0.34,14.1532,14.1174,-0.0358,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,acqrel,hit,random,2048,64,1000000,10,905.09,280.70,895.89,277.88,-9.20,-2.83,14.1420,13.9983,-0.1437,0.0000,0.0000,0.0000,3.0002,0.0000,1.0000,0,0,0,10,10,10,10
ldadd,seqcst,miss,random,536870912,1,1000000,10,44.68,13.90,47.57,14.79,2.74,0.85,44.6816,47.5656,2.7408,1.0014,0.9984,0.9987,3.0119,0.8778,1.0000,0,0,0,10,10,10,10
ldadd,seqcst,miss,random,536870912,2,1000000,10,100.10,31.31,99.99,31.07,-0.24,-0.08,50.0501,49.9962,-0.1189,1.0011,0.9984,0.9986,3.0004,0.9202,1.0000,0,0,0,10,10,10,10
ldadd,seqcst,miss,random,536870912,4,1000000,10,223.48,69.46,243.16,75.55,19.66,6.08,55.8712,60.7901,4.9147,1.0007,0.9984,0.9987,3.1596,0.9328,1.0000,0,0,0,10,10,10,10
ldadd,seqcst,miss,random,536870912,8,1000000,10,450.42,139.96,450.56,139.98,-0.01,-0.00,56.3020,56.3196,-0.0016,1.0006,0.9984,0.9987,3.0005,0.9408,1.0000,0,0,0,10,10,10,10
ldadd,seqcst,miss,random,536870912,16,1000000,10,901.05,279.90,901.09,279.93,-0.05,0.03,56.3154,56.3179,-0.0031,1.0008,0.9983,0.9985,3.0006,0.9410,1.0000,0,0,0,10,10,10,10
ldadd,seqcst,miss,random,536870912,32,1000000,10,1802.86,559.98,1802.81,560.02,-0.10,0.06,56.3395,56.3379,-0.0031,1.0006,0.9983,0.9985,3.0006,0.9421,1.0000,0,0,0,10,10,10,10
